日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數,filter,5MA,10MA,20MA,rsv,k,d
112/06/30,11159268.0,425253854.0,38.05,38.35,38.05,38.05,0.0,6089.0,,38.410000000000004,38.440000000000005,38.33,0.0416666666666642,0.252868236554502,0.4107100920772377
112/07/03,8601575.0,328660890.0,38.2,38.3,38.15,38.25,+0.20,5542.0,,38.32,38.44,38.339999999999996,0.20833333333333284,0.2380232688141123,0.35314781765619585
112/07/04,11565771.0,441047124.0,38.2,38.3,38.05,38.05,-0.20,7486.0,,38.17,38.410000000000004,38.3425,0.0416666666666642,0.17257106809829625,0.29295556780356263
112/07/05,17202745.0,652857069.0,38.05,38.15,37.8,37.8,-0.25,11608.0,,38.04,38.355,38.325,0.0,0.1150473787321975,0.23365283811310758
112/07/06,28968239.0,1082140861.0,37.75,37.75,37.2,37.25,-0.55,20557.0,,37.879999999999995,38.21,38.272499999999994,0.028571428571426947,0.08622206201194065,0.18450924607938526
112/07/07,19465674.0,722562784.0,37.2,37.5,36.9,37.3,+0.05,11962.0,,37.73,38.07,38.2425,0.1951219512195111,0.12252202508113079,0.1638468390799671
112/07/10,26003083.0,962232999.0,37.3,37.4,36.8,36.85,-0.45,16970.0,,37.45,37.885000000000005,38.1975,0.02500000000000213,0.09001468338742123,0.13923612051578516
112/07/11,22537721.0,828229527.0,36.8,37.05,36.5,36.55,X0.00,13816.0,,37.14999999999999,37.660000000000004,38.097500000000004,0.02499999999999858,0.06834312225828035,0.11560512109661689
112/07/12,13655144.0,499444106.0,36.55,36.65,36.5,36.6,+0.05,7962.0,,36.910000000000004,37.474999999999994,37.9875,0.05405405405405478,0.06358009952353849,0.09826344723892408
112/07/13,15806626.0,583073847.0,36.65,37.25,36.65,36.8,+0.20,8603.0,,36.82,37.35,37.905,0.16666666666666535,0.09794228857124744,0.09815639434969853
112/07/14,15399835.0,568877607.0,36.8,37.15,36.75,37.0,+0.20,6822.0,,36.760000000000005,37.245,37.8425,0.27777777777777823,0.15788745164009105,0.11806674677982937
112/07/17,19635471.0,722831068.0,37.0,37.1,36.7,36.75,-0.25,11288.0,,36.739999999999995,37.095,37.7675,0.15151515151515166,0.15576335159844457,0.13063228171936775
112/07/18,22387442.0,822733616.0,36.7,37.1,36.5,37.1,+0.35,12059.0,,36.85,37.0,37.705,0.48000000000000115,0.26384223439896337,0.17503559927923296
112/07/19,20934774.0,769842144.0,37.1,37.1,36.55,36.6,-0.50,12303.0,,36.85,36.88,37.6175,0.10000000000000142,0.20922815626597605,0.18643311827481396
112/07/20,17798154.0,651370556.0,36.65,36.75,36.55,36.55,-0.05,8840.0,,36.8,36.809999999999995,37.510000000000005,0.055555555555552485,0.15800395602916817,0.17695673085959868
112/07/21,23480660.0,852409824.0,36.6,36.65,36.1,36.1,-0.45,18234.0,,36.62,36.690000000000005,37.38,0.0,0.10533597068611211,0.15308314413510316
112/07/24,15855908.0,578367784.0,36.2,36.9,36.0,36.5,+0.40,8776.0,,36.57,36.655,37.269999999999996,0.4,0.2035573137907414,0.1699078673536492
112/07/25,24409072.0,911050979.0,36.9,37.65,36.8,37.4,+0.90,11495.0,,36.63,36.739999999999995,37.2,0.8484848484848484,0.41853315868877705,0.2527829644653585
112/07/26,11833479.0,441517637.0,37.5,37.55,37.2,37.25,-0.15,6021.0,,36.760000000000005,36.805,37.14,0.7575757575757582,0.5315473583177708,0.3457044290828292
112/07/27,14515480.0,541966389.0,37.25,37.55,37.2,37.35,+0.10,5784.0,,36.92,36.86,37.105000000000004,0.8181818181818198,0.6270921782724538,0.4395003454793707
112/07/28,11768083.0,437881006.0,37.35,37.4,37.1,37.35, 0.00,5727.0,,37.17,36.894999999999996,37.07,0.8181818181818198,0.6907887249089091,0.5232631386225501
112/07/31,17485589.0,653276071.0,37.35,37.6,37.15,37.3,-0.05,8184.0,,37.33,36.95,37.0225,0.7878787878787868,0.7231520792322017,0.589892785492434
112/08/01,13464998.0,503788057.0,37.35,37.6,37.3,37.55,+0.25,5945.0,,37.36,36.995,36.997499999999995,0.9393939393939384,0.795232699286114,0.6583394234236606
112/08/02,19895559.0,743759032.0,37.5,37.8,37.15,37.2,-0.35,9016.0,,37.35,37.055,36.9675,0.6666666666666693,0.7523773550796323,0.6896854006423178
112/08/04,14192349.0,530321040.0,37.25,37.5,37.15,37.35,+0.15,6682.0,,37.35,37.135000000000005,36.972500000000004,0.750000000000002,0.7515849033864221,0.7103185682236859
112/08/07,16992923.0,637318126.0,37.5,37.7,37.4,37.65,+0.30,6742.0,,37.41,37.29,36.989999999999995,0.8500000000000014,0.7843899355909485,0.7350090240127733
112/08/08,15554128.0,578849128.0,37.5,37.6,37.1,37.1,-0.55,9970.0,,37.37,37.35,37.002500000000005,0.0,0.5229266237272989,0.6643148905842818
112/08/09,10784194.0,400479133.0,37.1,37.25,37.05,37.15,+0.05,5540.0,,37.290000000000006,37.325,37.0325,0.13333333333333522,0.39306219359597766,0.5738973249215138
112/08/10,9774757.0,360662761.0,37.2,37.25,36.8,36.85,-0.30,8264.0,,37.22,37.285000000000004,37.045,0.05000000000000426,0.2787081290639865,0.475500926302338
112/08/11,17960217.0,656288294.0,37.15,37.75,37.1,37.4,+0.55,6938.0,,37.230000000000004,37.29,37.075,0.6000000000000014,0.38580541937599144,0.44560242399355576
112/08/14,17530258.0,647279615.0,37.55,37.55,36.75,36.85,-0.55,10462.0,,37.07,37.24,37.0675,0.09523809523809684,0.28894964466335993,0.39338483088349047
112/08/15,16918628.0,621512281.0,36.85,36.9,36.55,36.7,-0.15,8965.0,,36.99,37.18,37.065,0.12000000000000455,0.23263309644224145,0.3398009194030741
112/08/16,30022247.0,1087443921.0,36.55,36.6,36.0,36.05,-0.65,17353.0,,36.769999999999996,37.03,37.0125,0.028571428571426947,0.16461254048530327,0.2814047930971505
112/08/17,41929246.0,1451706873.0,36.0,36.05,35.4,35.65,-0.40,15160.0,,36.53,36.875,36.964999999999996,0.10638297872340419,0.14520268656467022,0.23600409091965707
112/08/18,30753041.0,1087997886.0,35.8,35.8,35.1,35.15,-0.50,18429.0,,36.08,36.654999999999994,36.894999999999996,0.018867924528300824,0.10309109921921376,0.19169976035284264
